GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
GLT8D1,0.1211742532,0.0190285386,0.0,0.20617914199829102,0.1744817825,0.2752570064,0.0290064952,0.1953065481,0.1275542207
KDELR1,0.0578594191,0.1204404421,0.0,0.0,0.3576826397,0.3063020331,0.0,0.1742393416,0.1270654845
KIF20A,0.3508601668,0.1231838077,0.0,0.0553361140191555,0.0338409563,0.1146192087,0.1599035213,0.1779084656,0.1269565301
MYO5B,0.2435544313,0.0348481355,0.0,0.04452019929885864,0.1787499,0.228281509,0.0,0.2841843251,0.1267673125
STT3A,0.0636397125,0.2786274197,0.0,0.0,0.1414587203,0.3457362485,0.0,0.184081073,0.1266928968
MGAT2,0.1614071227,0.040286511,0.0,0.0,0.3473418704,0.2055045625,0.0,0.2569299374,0.1264337505
UBE2J2,0.3062920083,0.0176973937,0.0,0.09799503535032272,0.2671307644,0.137305819,0.0,0.1797829488,0.1257754962
GALNT5,0.1110994322,0.0794772337,0.0,0.005424262024462223,0.1854764267,0.1574453504,0.1610207735,0.3056252835,0.1256960953
ARHGAP24,0.0723032046,0.0547946362,0.0,0.0,0.1754094727,0.3584867891,0.0434928416,0.2979337288,0.1253025841
MGAT3,0.2499138755,0.4887161937,0.0,0.018629007041454315,0.0433986788,0.0350991118,0.0,0.1664236781,0.1252725681
VTI1A,0.0849554122,0.0,0.0,0.0,0.474962671,0.1951582381,0.0,0.239754454,0.1243538469
COPA,0.3729802492,0.0344679028,0.0,0.08446715772151947,0.1279448222,0.1454309841,0.0,0.2292600635,0.1243188974
